category,name,material/finish,body,approx_hex,price_from,url
Faceplate,Purple,plastic/plastic,,#7e57c2,23.99,https://eoe.works/search?q=Purple+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Pink,plastic/plastic,,#f48fb1,23.99,https://eoe.works/search?q=Pink+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Crystal Clear,plastic/transparent,,#ffffff,23.99,https://eoe.works/search?q=Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Black Crystal Clear,plastic/transparent,,#222222,23.99,https://eoe.works/search?q=Black+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Red Crystal Clear,plastic/transparent,,#e53935,23.99,https://eoe.works/search?q=Red+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Orange Crystal Clear,plastic/transparent,,#fb8c00,23.99,https://eoe.works/search?q=Orange+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Yellow Crystal Clear,plastic/transparent,,#fdd835,23.99,https://eoe.works/search?q=Yellow+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Green Crystal Clear,plastic/transparent,,#43a047,23.99,https://eoe.works/search?q=Green+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Blue Crystal Clear,plastic/transparent,,#1e88e5,23.99,https://eoe.works/search?q=Blue+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Indigo Crystal Clear,plastic/transparent,,#3f51b5,23.99,https://eoe.works/search?q=Indigo+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Purple Crystal Clear,plastic/transparent,,#8e24aa,23.99,https://eoe.works/search?q=Purple+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Faceplate,Pink Crystal Clear,plastic/transparent,,#ec407a,23.99,https://eoe.works/search?q=Pink+Crystal+Clear+Faceplate+iPod+Classic+6th+7th+A1238
Click wheel,Black,standard,,#1a1a1a,18.99,https://eoe.works/search?q=Black+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Grey,standard,,#8e8e8e,18.99,https://eoe.works/search?q=Grey+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,White,standard,,#f4f4f4,18.99,https://eoe.works/search?q=White+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Red,standard,,#d32f2f,18.99,https://eoe.works/search?q=Red+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Orange,standard,,#f57c00,18.99,https://eoe.works/search?q=Orange+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Yellow,standard,,#fbc02d,18.99,https://eoe.works/search?q=Yellow+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Light Green,standard,,#9ccc65,18.99,https://eoe.works/search?q=Light+Green+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Green,standard,,#43a047,18.99,https://eoe.works/search?q=Green+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Light Blue,standard,,#81d4fa,18.99,https://eoe.works/search?q=Light+Blue+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Blue,standard,,#1e88e5,18.99,https://eoe.works/search?q=Blue+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Light Pink,standard,,#f8bbd0,18.99,https://eoe.works/search?q=Light+Pink+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Pink,standard,,#f06292,18.99,https://eoe.works/search?q=Pink+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Purple,standard,,#7e57c2,18.99,https://eoe.works/search?q=Purple+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Phantom Gray,standard,,#4b4f56,18.99,https://eoe.works/search?q=Phantom+Gray+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Steel Blue,standard,,#4682b4,18.99,https://eoe.works/search?q=Steel+Blue+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Sandstone Pink,standard,,#e0b8a8,18.99,https://eoe.works/search?q=Sandstone+Pink+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Pink Fizz,standard,,#ff4fa3,19.99,https://eoe.works/search?q=Pink+Fizz+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Fully Transparent Clear,transparent,,#ffffff,18.99,https://eoe.works/search?q=Fully+Transparent+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Transparent Clear,transparent,,#f0f0f0,18.99,https://eoe.works/search?q=Transparent+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Polychrome Blue Green Purple,iridescent,,#3b82f6->#22c55e->#a855f7,18.99,https://eoe.works/search?q=Polychrome+Blue+Green+Purple+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Black Crystal Clear,transparent,,#222222,18.99,https://eoe.works/search?q=Black+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Red Crystal Clear,transparent,,#e53935,18.99,https://eoe.works/search?q=Red+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Orange Crystal Clear,transparent,,#fb8c00,18.99,https://eoe.works/search?q=Orange+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Yellow Crystal Clear,transparent,,#fdd835,18.99,https://eoe.works/search?q=Yellow+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Green Crystal Clear,transparent,,#43a047,18.99,https://eoe.works/search?q=Green+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Blue Crystal Clear,transparent,,#1e88e5,18.99,https://eoe.works/search?q=Blue+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Indigo Crystal Clear,transparent,,#3f51b5,18.99,https://eoe.works/search?q=Indigo+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Pink Crystal Clear,transparent,,#ec407a,18.99,https://eoe.works/search?q=Pink+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Purple Crystal Clear,transparent,,#8e24aa,18.99,https://eoe.works/search?q=Purple+Crystal+Clear+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Clover Green Transparent,atomic,,#2e9e4f,33.99,https://eoe.works/search?q=Atomic+Clover+Green+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Glitter Transparent,atomic,,#e8e8f0,33.99,https://eoe.works/search?q=Atomic+Glitter+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Purple Transparent,atomic,,#7c3aed,33.99,https://eoe.works/search?q=Atomic+Purple+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Lychee Fruit Transparent,atomic,,#f6c1cf,33.99,https://eoe.works/search?q=Atomic+Lychee+Fruit+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Nebula,atomic,,#3b1f6b->#e11d74,33.99,https://eoe.works/search?q=Atomic+Nebula+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Peach Ring,atomic,,#ffb27a->#ff7a59,33.99,https://eoe.works/search?q=Atomic+Peach+Ring+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Pink Bubblegum Transparent,atomic,,#ff8fc8,33.99,https://eoe.works/search?q=Atomic+Pink+Bubblegum+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Ruby Red Transparent,atomic,,#c2183b,33.99,https://eoe.works/search?q=Atomic+Ruby+Red+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Storm Transparent,atomic,,#5a6270,33.99,https://eoe.works/search?q=Atomic+Storm+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Orange Fireball Sunset,atomic,,#ff5722->#ffb300,33.99,https://eoe.works/search?q=Atomic+Orange+Fireball+Sunset+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Shushee Rainbow,atomic,,#ff0000->#ffff00->#00ff00->#0000ff,33.99,https://eoe.works/search?q=Atomic+Shushee+Rainbow+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Surfside Aurora,atomic,,#22d3ee->#a78bfa,33.99,https://eoe.works/search?q=Atomic+Surfside+Aurora+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Wild Berry Transparent,atomic,,#b0306e,33.99,https://eoe.works/search?q=Atomic+Wild+Berry+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Yellow Transparent,atomic,,#ffe600,33.99,https://eoe.works/search?q=Atomic+Yellow+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Blue Ice Transparent,atomic,,#a5d8ff,33.99,https://eoe.works/search?q=Atomic+Blue+Ice+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Gold Metallic,atomic,,#d4af37,33.99,https://eoe.works/search?q=Atomic+Gold+Metallic+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Anodized Purple,atomic,,#5b2c9e,33.99,https://eoe.works/search?q=Atomic+Anodized+Purple+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Twilight Plum,atomic,,#5d2a5a,33.99,https://eoe.works/search?q=Atomic+Twilight+Plum+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Sonic Gray Blue,atomic,,#5f7f9f,33.99,https://eoe.works/search?q=Atomic+Sonic+Gray+Blue+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Slime Green,atomic,,#7cff00,33.99,https://eoe.works/search?q=Atomic+Slime+Green+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Midnight Blue,atomic,,#1b2a5b,33.99,https://eoe.works/search?q=Atomic+Midnight+Blue+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Sky Blue,atomic,,#6fc3f7,33.99,https://eoe.works/search?q=Atomic+Sky+Blue+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Yellow Dream,atomic,,#fff176,33.99,https://eoe.works/search?q=Atomic+Yellow+Dream+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Spearmint Green,atomic,,#3ddc97,33.99,https://eoe.works/search?q=Atomic+Spearmint+Green+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Orange Dream,atomic,,#ffab5e,33.99,https://eoe.works/search?q=Atomic+Orange+Dream+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Mica Red,atomic,,#b3202b,33.99,https://eoe.works/search?q=Atomic+Mica+Red+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Click wheel,Atomic Citrus Orange Transparent,atomic,,#ff8c00,33.99,https://eoe.works/search?q=Atomic+Citrus+Orange+Transparent+Click+Wheel+Flex+iPod+Classic+6th+7th+A1238
Center button,Black,metal,,#141414,8.99,https://eoe.works/search?q=Black+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Silver,metal,,#c9c9cc,8.99,https://eoe.works/search?q=Silver+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Pebble,metal,,#9a9793,9.99,https://eoe.works/search?q=Pebble+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Charcoal Gray,metal,,#3a3a3c,8.99,https://eoe.works/search?q=Charcoal+Gray+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Red,metal,,#c8102e,9.99,https://eoe.works/search?q=Red+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Rose Gold,metal,,#d9a08f,9.99,https://eoe.works/search?q=Rose+Gold+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Cosmic Orange,metal,,#ff6a13,9.99,https://eoe.works/search?q=Cosmic+Orange+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Terracotta Orange,metal,,#c4623a,9.99,https://eoe.works/search?q=Terracotta+Orange+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Starlight,metal,,#e8e2d6,9.99,https://eoe.works/search?q=Starlight+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Gold,metal,,#d4af37,9.99,https://eoe.works/search?q=Gold+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Yellow,metal,,#f5c400,9.99,https://eoe.works/search?q=Yellow+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Champagne Gold,metal,,#e6d3a3,9.99,https://eoe.works/search?q=Champagne+Gold+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Lime Green,metal,,#9ccc2e,9.99,https://eoe.works/search?q=Lime+Green+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Green,metal,,#2e8b3d,9.99,https://eoe.works/search?q=Green+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Jungle Green,metal,,#1f5e3a,9.99,https://eoe.works/search?q=Jungle+Green+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Natural Green,metal,,#6f8f5a,9.99,https://eoe.works/search?q=Natural+Green+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Earth Brown,metal,,#5c4033,9.99,https://eoe.works/search?q=Earth+Brown+Center+Select+Button+iPod+Classic+6th+7th+Metal+A1238
Center button,Black,plastic,,#1a1a1a,9.99,https://eoe.works/search?q=Black+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Grey,plastic,,#8e8e8e,9.99,https://eoe.works/search?q=Grey+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,White,plastic,,#f4f4f4,9.99,https://eoe.works/search?q=White+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Red,plastic,,#d32f2f,9.99,https://eoe.works/search?q=Red+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Orange,plastic,,#f57c00,9.99,https://eoe.works/search?q=Orange+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Yellow,plastic,,#fbc02d,9.99,https://eoe.works/search?q=Yellow+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Green,plastic,,#43a047,9.99,https://eoe.works/search?q=Green+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Light Blue,plastic,,#81d4fa,9.99,https://eoe.works/search?q=Light+Blue+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Blue,plastic,,#1e88e5,9.99,https://eoe.works/search?q=Blue+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Pink,plastic,,#f48fb1,9.99,https://eoe.works/search?q=Pink+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Purple,plastic,,#7e57c2,9.99,https://eoe.works/search?q=Purple+Plastic+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Transparent Crystal Clear,transparent,,#ffffff,9.99,https://eoe.works/search?q=Transparent+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Black Crystal Clear,transparent,,#222222,9.99,https://eoe.works/search?q=Black+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Red Crystal Clear,transparent,,#e53935,9.99,https://eoe.works/search?q=Red+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Orange Crystal Clear,transparent,,#fb8c00,9.99,https://eoe.works/search?q=Orange+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Yellow Crystal Clear,transparent,,#fdd835,9.99,https://eoe.works/search?q=Yellow+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Green Crystal Clear,transparent,,#43a047,9.99,https://eoe.works/search?q=Green+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Blue Crystal Clear,transparent,,#1e88e5,9.99,https://eoe.works/search?q=Blue+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Indigo Crystal Clear,transparent,,#3f51b5,9.99,https://eoe.works/search?q=Indigo+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Purple Crystal Clear,transparent,,#8e24aa,9.99,https://eoe.works/search?q=Purple+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Center button,Pink Crystal Clear,transparent,,#ec407a,9.99,https://eoe.works/search?q=Pink+Crystal+Clear+Center+Select+Button+iPod+Classic+6th+7th+A1238
Backplate,Silver (stock stainless),chrome,thin+thick,#cfd2d6,14.99,https://eoe.works/search?q=Silver+%28stock+stainless%29+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Silver Chrome,chrome,thin+thick,#e3e5e8,23.99,https://eoe.works/search?q=Silver+Chrome+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Black,chrome,thin+thick,#1c1c1e,19.99,https://eoe.works/search?q=Black+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Black Chrome,chrome,thin+thick,#2b2b2e,23.99,https://eoe.works/search?q=Black+Chrome+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Sangria Red,chrome,thin+thick,#7b1e2b,23.99,https://eoe.works/search?q=Sangria+Red+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Red Wine,chrome,thin+thick,#5e1a2a,19.99,https://eoe.works/search?q=Red+Wine+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Toxic Green,chrome,thin+thick,#7ddc1f,23.99,https://eoe.works/search?q=Toxic+Green+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Pine Green,chrome,thin+thick,#1f4d3a,23.99,https://eoe.works/search?q=Pine+Green+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Ocean Blue,chrome,thin+thick,#1b5fa8,23.99,https://eoe.works/search?q=Ocean+Blue+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Matte Baby Blue,matte,thin+thick,#a9c9e8,23.99,https://eoe.works/search?q=Matte+Baby+Blue+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Blue Aqua,chrome,thin+thick,#3ec6d4,23.99,https://eoe.works/search?q=Blue+Aqua+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Storm Cloud Blue,chrome,thin+thick,#5b6f8c,23.99,https://eoe.works/search?q=Storm+Cloud+Blue+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Frost Blue,chrome,thin+thick,#bfe3f2,23.99,https://eoe.works/search?q=Frost+Blue+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Daylight Blue,chrome,thin+thick,#4aa3e8,23.99,https://eoe.works/search?q=Daylight+Blue+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Hyper Pink,chrome,thin+thick,#ff2d95,23.99,https://eoe.works/search?q=Hyper+Pink+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Blush Pink,chrome,thin+thick,#f4b6c2,23.99,https://eoe.works/search?q=Blush+Pink+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Wild Berry Pink Red Gradient,gradient,thin+thick,#c2185b->#e53935,19.99,https://eoe.works/search?q=Wild+Berry+Pink+Red+Gradient+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Violet Voltage,chrome,thin+thick,#7c3aed,23.99,https://eoe.works/search?q=Violet+Voltage+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Purple Haze,chrome,thin+thick,#8e6bbf,26.99,https://eoe.works/search?q=Purple+Haze+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Plum Purple,chrome,thin+thick,#5a2a6b,23.99,https://eoe.works/search?q=Plum+Purple+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Ultraviolet Purple Blue,chrome,thin+thick,#4b2aa8,23.99,https://eoe.works/search?q=Ultraviolet+Purple+Blue+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Midnight Purple,chrome,thin+thick,#3a2159,26.99,https://eoe.works/search?q=Midnight+Purple+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Purple Wine,chrome,thin+thick,#5c1f4f,23.99,https://eoe.works/search?q=Purple+Wine+Backplate+iPod+Classic+6th+7th+A1238
Backplate,Gold,chrome,thin+thick,#d4af37,19.99,https://eoe.works/search?q=Gold+Backplate+iPod+Classic+6th+7th+A1238
